0,18.625,-798.90843
1,18.625,-759.93729
2,18.625,-720.96614
3,18.625,-681.995
4,18.625,-643.02386
5,18.625,-604.05271
6,18.625,-565.08157
7,18.625,-526.11043
8,18.625,-487.13928
9,18.625,-448.16814
10,18.625,-409.197
11,18.625,-370.22586
12,18.625,-331.25471
13,18.625,-292.28357
14,18.625,-253.31243
15,18.625,-214.34128
16,18.625,-175.37014
17,18.625,-136.399
18,18.625,-97.427857
19,18.625,-58.456714
20,18.625,-19.485571
21,18.625,19.4855716
22,18.625,58.4567148
23,18.625,97.4278579
24,18.625,136.399001
25,18.625,175.370144
26,18.625,214.341287
27,18.625,253.31243
28,18.625,292.283573
29,18.625,331.254716
30,18.625,370.22586
31,18.625,409.197003
32,18.625,448.168146
33,18.625,487.139289
34,18.625,526.110432
35,18.625,565.081576
36,18.625,604.052719
37,18.625,643.023862
38,18.625,681.995005
39,18.625,720.966148
40,18.625,759.937291
41,18.625,798.908435
42,52.375,-818.394
43,52.375,-779.42286
44,52.375,-740.45172
45,52.375,-701.48057
46,52.375,-662.50943
47,52.375,-623.53829
48,52.375,-584.56714
49,52.375,-545.596
50,52.375,-506.62486
51,52.375,-467.65371
52,52.375,-428.68257
53,52.375,-389.71143
54,52.375,-350.74028
55,52.375,-311.76914
56,52.375,-272.798
57,52.375,-233.82685
58,52.375,-194.85571
59,52.375,-155.88457
60,52.375,-116.91342
61,52.375,-77.942286
62,52.375,-38.971143
63,52.375,-0.0
64,52.375,38.9711432
65,52.375,77.9422863
66,52.375,116.913429
67,52.375,155.884572
68,52.375,194.855715
69,52.375,233.826859
70,52.375,272.798002
71,52.375,311.769145
72,52.375,350.740288
73,52.375,389.711431
74,52.375,428.682574
75,52.375,467.653718
76,52.375,506.624861
77,52.375,545.596004
78,52.375,584.567147
79,52.375,623.53829
80,52.375,662.509433
81,52.375,701.480577
82,52.375,740.45172
83,52.375,779.422863
84,52.375,818.394006
85,86.125,-798.90843
86,86.125,-759.93729
87,86.125,-720.96614
88,86.125,-681.995
89,86.125,-643.02386
90,86.125,-604.05271
91,86.125,-565.08157
92,86.125,-526.11043
93,86.125,-487.13928
94,86.125,-448.16814
95,86.125,-409.197
96,86.125,-370.22586
97,86.125,-331.25471
98,86.125,-292.28357
99,86.125,-253.31243
100,86.125,-214.34128
101,86.125,-175.37014
102,86.125,-136.399
103,86.125,-97.427857
104,86.125,-58.456714
105,86.125,-19.485571
106,86.125,19.4855716
107,86.125,58.4567148
108,86.125,97.4278579
109,86.125,136.399001
110,86.125,175.370144
111,86.125,214.341287
112,86.125,253.31243
113,86.125,292.283573
114,86.125,331.254716
115,86.125,370.22586
116,86.125,409.197003
117,86.125,448.168146
118,86.125,487.139289
119,86.125,526.110432
120,86.125,565.081576
121,86.125,604.052719
122,86.125,643.023862
123,86.125,681.995005
124,86.125,720.966148
125,86.125,759.937291
126,86.125,798.908435
127,119.875,-818.394
128,119.875,-779.42286
129,119.875,-740.45172
130,119.875,-701.48057
131,119.875,-662.50943
132,119.875,-623.53829
133,119.875,-584.56714
134,119.875,-545.596
135,119.875,-506.62486
136,119.875,-467.65371
137,119.875,-428.68257
138,119.875,-389.71143
139,119.875,-350.74028
140,119.875,-311.76914
141,119.875,-272.798
142,119.875,-233.82685
143,119.875,-194.85571
144,119.875,-155.88457
145,119.875,-116.91342
146,119.875,-77.942286
147,119.875,-38.971143
148,119.875,-0.0
149,119.875,38.9711432
150,119.875,77.9422863
151,119.875,116.913429
152,119.875,155.884572
153,119.875,194.855715
154,119.875,233.826859
155,119.875,272.798002
156,119.875,311.769145
157,119.875,350.740288
158,119.875,389.711431
159,119.875,428.682574
160,119.875,467.653718
161,119.875,506.624861
162,119.875,545.596004
163,119.875,584.567147
164,119.875,623.53829
165,119.875,662.509433
166,119.875,701.480577
167,119.875,740.45172
168,119.875,779.422863
169,119.875,818.394006
170,153.625,-798.90843
171,153.625,-759.93729
172,153.625,-720.96614
173,153.625,-681.995
174,153.625,-643.02386
175,153.625,-604.05271
176,153.625,-565.08157
177,153.625,-526.11043
178,153.625,-487.13928
179,153.625,-448.16814
180,153.625,-409.197
181,153.625,-370.22586
182,153.625,-331.25471
183,153.625,-292.28357
184,153.625,-253.31243
185,153.625,-214.34128
186,153.625,-175.37014
187,153.625,-136.399
188,153.625,-97.427857
189,153.625,-58.456714
190,153.625,-19.485571
191,153.625,19.4855716
192,153.625,58.4567148
193,153.625,97.4278579
194,153.625,136.399001
195,153.625,175.370144
196,153.625,214.341287
197,153.625,253.31243
198,153.625,292.283573
199,153.625,331.254716
200,153.625,370.22586
201,153.625,409.197003
202,153.625,448.168146
203,153.625,487.139289
204,153.625,526.110432
205,153.625,565.081576
206,153.625,604.052719
207,153.625,643.023862
208,153.625,681.995005
209,153.625,720.966148
210,153.625,759.937291
211,153.625,798.908435
212,187.375,-818.394
213,187.375,-779.42286
214,187.375,-740.45172
215,187.375,-701.48057
216,187.375,-662.50943
217,187.375,-623.53829
218,187.375,-584.56714
219,187.375,-545.596
220,187.375,-506.62486
221,187.375,-467.65371
222,187.375,-428.68257
223,187.375,-389.71143
224,187.375,-350.74028
225,187.375,-311.76914
226,187.375,-272.798
227,187.375,-233.82685
228,187.375,-194.85571
229,187.375,-155.88457
230,187.375,-116.91342
231,187.375,-77.942286
232,187.375,-38.971143
233,187.375,-0.0
234,187.375,38.9711432
235,187.375,77.9422863
236,187.375,116.913429
237,187.375,155.884572
238,187.375,194.855715
239,187.375,233.826859
240,187.375,272.798002
241,187.375,311.769145
242,187.375,350.740288
